timestamp,image,experiment,training,training_resampled,test,YSI DO (mg/L),YSI DO (%),YSI DO (mmHg),YSI barometer (mmHg),YSI temperature (C),setpoint temperature (C),DO patch r_msorm,DO patch g_msorm,DO patch b_msorm,reference patch r_msorm,reference patch g_msorm,reference patch b_msorm,reflectance standard r_msorm,reflectance standard g_msorm,reflectance standard b_msorm,water bath external temperature (C),water bath internal temperature (C),PicoLog temperature (C),PicoLog pressure (mmHg),setpoint O2 (fraction),setpoint O2 (mmHg)
2019-07-26 19:52:07,2019-07-26--19-52-02_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,2019-07-26--19-34-38-Pi2E32-3000_images_attempt_1,True,False,False,6.79,97.3,155.521175,762.58,34.8,35.0,0.111597,0.291884,0.741207,0.367364,0.412818,0.832337,0.099688,0.431054,0.934387,23.02,35.0,34.688967,763.460586,0.2131,162.693451
2019-07-26 19:52:16,2019-07-26--19-52-11_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,2019-07-26--19-34-38-Pi2E32-3000_images_attempt_1,True,False,False,6.79,97.3,155.525254,762.6,34.8,35.0,0.123674,0.32242,0.808902,0.407769,0.456563,0.899876,0.110392,0.477134,0.936485,23.018,35.0,34.690946,763.414892,0.2131,162.683713
2019-07-26 19:52:25,2019-07-26--19-52-20_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,2019-07-26--19-34-38-Pi2E32-3000_images_attempt_1,True,False,False,6.79,97.4,155.685095,762.6,34.8,35.0,0.111556,0.291838,0.740975,0.36729,0.41279,0.832108,0.099671,0.430919,0.934402,23.02,35.0,34.691185,763.538063,0.2131,162.709961
2019-07-26 19:52:34,2019-07-26--19-52-29_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,2019-07-26--19-34-38-Pi2E32-3000_images_attempt_1,True,True,False,6.79,97.3,155.525254,762.6,34.8,35.0,0.131818,0.342785,0.850171,0.43567,0.486707,0.929064,0.117374,0.508861,0.936567,23.012,35.008,34.691841,763.653182,0.2131,162.734493
2019-07-26 19:52:43,2019-07-26--19-52-38_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,2019-07-26--19-34-38-Pi2E32-3000_images_attempt_1,True,False,False,6.79,97.3,155.525254,762.6,34.8,35.0,0.111456,0.291618,0.740568,0.367001,0.412526,0.831802,0.099601,0.430604,0.93437,23.02,35.0,34.696399,763.623509,0.2131,162.72817
2019-07-26 19:52:52,2019-07-26--19-52-47_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,2019-07-26--19-34-38-Pi2E32-3000_images_attempt_1,True,False,False,6.79,97.32,155.540907,762.52,34.8,35.0,0.128279,0.334111,0.83305,0.422975,0.473026,0.918503,0.114518,0.49711,0.936555,23.012,35.0,34.700952,763.466216,0.2131,162.694651
2019-07-26 19:53:01,2019-07-26--19-52-56_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,2019-07-26--19-34-38-Pi2E32-3000_images_attempt_1,True,False,False,6.786,97.3,155.50486,762.5,34.8,35.0,0.111357,0.291577,0.740126,0.366771,0.412219,0.831313,0.099566,0.430349,0.934319,23.016,35.0,34.702383,763.310926,0.2131,162.661558
2019-07-26 19:53:10,2019-07-26--19-53-05_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,2019-07-26--19-34-38-Pi2E32-3000_images_attempt_1,True,False,False,6.79,97.4,155.685095,762.6,34.8,35.0,0.127272,0.331514,0.827887,0.420713,0.470481,0.91612,0.113448,0.492653,0.936547,23.034,35.0,34.702535,763.438728,0.2131,162.688793
2019-07-26 19:53:19,2019-07-26--19-53-14_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,2019-07-26--19-34-38-Pi2E32-3000_images_attempt_1,True,False,False,6.79,97.3,155.525254,762.6,34.8,35.0,0.111361,0.291536,0.740225,0.366715,0.412282,0.831322,0.099592,0.430375,0.934364,23.032,35.0,34.703711,763.607158,0.2131,162.724685
2019-07-26 19:53:28,2019-07-26--19-53-23_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,2019-07-26--19-34-38-Pi2E32-3000_images_attempt_1,True,False,False,6.79,97.4,155.685095,762.6,34.8,35.0,0.13273,0.345438,0.855201,0.438849,0.49025,0.930865,0.118479,0.513545,0.93657,23.04,35.0,34.70492,763.572429,0.2131,162.717285
