image,timestamp,experiment,training,dev,dev_resampled,YSI DO (%),YSI DO (mmHg),YSI barometer (mmHg),YSI temperature (C),setpoint temperature (C),DO patch r_msorm,DO patch g_msorm,DO patch b_msorm,reference patch r_msorm,reference patch g_msorm,reference patch b_msorm,reflectance standard r_msorm,reflectance standard g_msorm,reflectance standard b_msorm,setpoint O2 (fraction),ROI definitions,setpoint ID,scum tank
2019-09-26--16-52-28_capture_params_ISO_100_exposure_time_0.4_camera_warm_up_5_led_on_True_.jpeg,2019-09-26 16:52:33,2019-09-26--16-02-10-Pi2E32-sweep_attempt_17_1569537028,True,False,False,86.78,138.043853,759.3,30.4,30.0,0.035158,0.065094,0.158168,0.172712,0.129228,0.184542,0.030912,0.137006,0.438371,0.179091,"{'DO Patch': [1040, 410, 230, 400], 'Reference Patch': [650, 875, 279, 252], 'Reflectance Standard': [660, 200, 250, 250]}",2,False
2019-09-26--16-52-35_capture_params_ISO_100_exposure_time_0.4_camera_warm_up_5_led_on_True_.jpeg,2019-09-26 16:52:41,2019-09-26--16-02-10-Pi2E32-sweep_attempt_17_1569537028,True,False,False,86.78,138.043853,759.3,30.4,30.0,0.0352,0.065113,0.157976,0.172839,0.129217,0.184299,0.030893,0.137027,0.437925,0.179091,"{'DO Patch': [1040, 410, 230, 400], 'Reference Patch': [650, 875, 279, 252], 'Reflectance Standard': [660, 200, 250, 250]}",2,False
2019-09-26--16-52-44_capture_params_ISO_100_exposure_time_0.4_camera_warm_up_5_led_on_True_.jpeg,2019-09-26 16:52:50,2019-09-26--16-02-10-Pi2E32-sweep_attempt_17_1569537028,True,False,False,86.8,138.075668,759.3,30.4,30.0,0.035236,0.065162,0.158118,0.173022,0.129336,0.18442,0.030923,0.13712,0.438227,0.179091,"{'DO Patch': [1040, 410, 230, 400], 'Reference Patch': [650, 875, 279, 252], 'Reflectance Standard': [660, 200, 250, 250]}",2,False
2019-09-26--16-52-53_capture_params_ISO_100_exposure_time_0.4_camera_warm_up_5_led_on_True_.jpeg,2019-09-26 16:52:59,2019-09-26--16-02-10-Pi2E32-sweep_attempt_17_1569537028,True,False,False,86.8,138.075668,759.3,30.4,30.0,0.0352,0.065085,0.157753,0.172845,0.12922,0.18409,0.030892,0.136916,0.437526,0.179091,"{'DO Patch': [1040, 410, 230, 400], 'Reference Patch': [650, 875, 279, 252], 'Reflectance Standard': [660, 200, 250, 250]}",2,False
2019-09-26--16-53-02_capture_params_ISO_100_exposure_time_0.4_camera_warm_up_5_led_on_True_.jpeg,2019-09-26 16:53:08,2019-09-26--16-02-10-Pi2E32-sweep_attempt_17_1569537028,True,False,False,86.8,138.075668,759.3,30.4,30.0,0.035271,0.065202,0.158036,0.173167,0.129439,0.18432,0.030923,0.13721,0.438215,0.179091,"{'DO Patch': [1040, 410, 230, 400], 'Reference Patch': [650, 875, 279, 252], 'Reflectance Standard': [660, 200, 250, 250]}",2,False
2019-09-26--16-53-11_capture_params_ISO_100_exposure_time_0.4_camera_warm_up_5_led_on_True_.jpeg,2019-09-26 16:53:17,2019-09-26--16-02-10-Pi2E32-sweep_attempt_17_1569537028,True,False,False,86.8,138.075668,759.3,30.4,30.0,0.035208,0.065081,0.157712,0.172869,0.129225,0.184017,0.030857,0.136964,0.437469,0.179091,"{'DO Patch': [1040, 410, 230, 400], 'Reference Patch': [650, 875, 279, 252], 'Reflectance Standard': [660, 200, 250, 250]}",2,False
2019-09-26--16-53-29_capture_params_ISO_100_exposure_time_0.4_camera_warm_up_5_led_on_True_.jpeg,2019-09-26 16:53:35,2019-09-26--16-02-10-Pi2E32-sweep_attempt_17_1569537028,True,False,False,86.76,138.012038,759.3,30.4,30.0,0.035265,0.065164,0.157884,0.173148,0.129365,0.184155,0.030907,0.137054,0.437984,0.179091,"{'DO Patch': [1040, 410, 230, 400], 'Reference Patch': [650, 875, 279, 252], 'Reflectance Standard': [660, 200, 250, 250]}",2,False
2019-09-26--16-53-38_capture_params_ISO_100_exposure_time_0.4_camera_warm_up_5_led_on_True_.jpeg,2019-09-26 16:53:44,2019-09-26--16-02-10-Pi2E32-sweep_attempt_17_1569537028,True,False,False,86.8,138.075668,759.3,30.4,30.0,0.035308,0.065262,0.158119,0.173413,0.129569,0.184487,0.030954,0.137374,0.438326,0.179091,"{'DO Patch': [1040, 410, 230, 400], 'Reference Patch': [650, 875, 279, 252], 'Reflectance Standard': [660, 200, 250, 250]}",2,False
2019-09-26--16-53-47_capture_params_ISO_100_exposure_time_0.4_camera_warm_up_5_led_on_True_.jpeg,2019-09-26 16:53:53,2019-09-26--16-02-10-Pi2E32-sweep_attempt_17_1569537028,True,False,False,86.8,138.075668,759.3,30.4,30.0,0.035237,0.065152,0.157937,0.173304,0.129427,0.184212,0.030861,0.137035,0.437947,0.179091,"{'DO Patch': [1040, 410, 230, 400], 'Reference Patch': [650, 875, 279, 252], 'Reflectance Standard': [660, 200, 250, 250]}",2,False
2019-09-26--16-53-56_capture_params_ISO_100_exposure_time_0.4_camera_warm_up_5_led_on_True_.jpeg,2019-09-26 16:54:02,2019-09-26--16-02-10-Pi2E32-sweep_attempt_17_1569537028,True,False,False,86.7,137.916594,759.3,30.4,30.0,0.035319,0.065289,0.158096,0.173512,0.129633,0.184442,0.030924,0.137323,0.438464,0.179091,"{'DO Patch': [1040, 410, 230, 400], 'Reference Patch': [650, 875, 279, 252], 'Reflectance Standard': [660, 200, 250, 250]}",2,False
