image,timestamp,experiment,training,dev,dev_resampled,test,test_resampled,YSI DO (%),YSI DO (mmHg),YSI barometer (mmHg),YSI temperature (C),setpoint temperature (C),DO patch r_msorm,DO patch g_msorm,DO patch b_msorm,reference patch r_msorm,reference patch g_msorm,reference patch b_msorm,reflectance standard r_msorm,reflectance standard g_msorm,reflectance standard b_msorm,setpoint O2 (fraction),ROI definitions,setpoint ID,scum tank
2019-09-28--13-30-58_capture_params_ISO_100_exposure_time_0.4_camera_warm_up_5_led_on_True_.jpeg,2019-09-28 13:31:03,2019-09-27--11-54-22-Pi2E32-sweep_attempt_17_1569608658,True,False,False,False,False,16.700188,26.450094,756.000011,28.799988,,0.06163,0.082351,0.170331,0.171335,0.127862,0.182155,0.0307,0.136043,0.434825,,"{'DO patch': [1040, 410, 230, 400], 'reference patch': [650, 875, 279, 252], 'reflectance standard': [660, 200, 250, 250]}",126,True
2019-10-03--16-00-57_additional_capture_params__exposure_time_0.4_iso_100_camera_warm_up_5_.jpeg,2019-10-03 16:01:03,2019-10-03--16-00-57-Pi7B0F-scumtank2_10k_images_attempt_6,True,False,False,False,False,99.473333,158.563445,760.873333,23.4,,0.035142,0.068924,0.169871,0.161558,0.118614,0.16789,0.028275,0.124833,0.404759,,"{'DO patch': [1040, 410, 230, 400], 'reference patch': [650, 875, 279, 252], 'reflectance standard': [660, 200, 250, 250]}",127,True
2019-10-03--16-01-27_additional_capture_params__exposure_time_0.4_iso_100_camera_warm_up_5_.jpeg,2019-10-03 16:01:33,2019-10-03--16-00-57-Pi7B0F-scumtank2_10k_images_attempt_6,True,False,False,False,False,99.3,158.271887,760.8,23.4,,0.035226,0.069063,0.170189,0.161912,0.118863,0.168217,0.028288,0.125078,0.405627,,"{'DO patch': [1040, 410, 230, 400], 'reference patch': [650, 875, 279, 252], 'reflectance standard': [660, 200, 250, 250]}",127,True
2019-10-03--16-01-58_additional_capture_params__exposure_time_0.4_iso_100_camera_warm_up_5_.jpeg,2019-10-03 16:02:03,2019-10-03--16-00-57-Pi7B0F-scumtank2_10k_images_attempt_6,True,False,False,False,False,99.2,158.112499,760.8,23.4,,0.035248,0.069095,0.170374,0.162073,0.119007,0.168299,0.028336,0.125143,0.405983,,"{'DO patch': [1040, 410, 230, 400], 'reference patch': [650, 875, 279, 252], 'reflectance standard': [660, 200, 250, 250]}",127,True
2019-10-03--16-02-28_additional_capture_params__exposure_time_0.4_iso_100_camera_warm_up_5_.jpeg,2019-10-03 16:02:33,2019-10-03--16-00-57-Pi7B0F-scumtank2_10k_images_attempt_6,True,False,False,False,False,99.1,157.953112,760.8,23.426667,,0.035278,0.069135,0.170295,0.162149,0.119015,0.168305,0.028317,0.125135,0.405994,,"{'DO patch': [1040, 410, 230, 400], 'reference patch': [650, 875, 279, 252], 'reflectance standard': [660, 200, 250, 250]}",127,True
2019-10-03--16-02-57_additional_capture_params__exposure_time_0.4_iso_100_camera_warm_up_5_.jpeg,2019-10-03 16:03:03,2019-10-03--16-00-57-Pi7B0F-scumtank2_10k_images_attempt_6,True,False,False,False,False,99.0,157.778514,760.726667,23.5,,0.035318,0.069277,0.170736,0.162233,0.119099,0.168468,0.028328,0.125302,0.406291,,"{'DO patch': [1040, 410, 230, 400], 'reference patch': [650, 875, 279, 252], 'reflectance standard': [660, 200, 250, 250]}",127,True
2019-10-03--16-03-27_additional_capture_params__exposure_time_0.4_iso_100_camera_warm_up_5_.jpeg,2019-10-03 16:03:33,2019-10-03--16-00-57-Pi7B0F-scumtank2_10k_images_attempt_6,True,False,False,False,False,99.0,157.788193,760.773333,23.5,,0.035295,0.06918,0.170483,0.162276,0.119156,0.168502,0.028337,0.125236,0.406339,,"{'DO patch': [1040, 410, 230, 400], 'reference patch': [650, 875, 279, 252], 'reflectance standard': [660, 200, 250, 250]}",127,True
2019-10-03--16-03-58_additional_capture_params__exposure_time_0.4_iso_100_camera_warm_up_5_.jpeg,2019-10-03 16:04:03,2019-10-03--16-00-57-Pi7B0F-scumtank2_10k_images_attempt_6,True,False,False,False,False,98.9,157.619142,760.726667,23.5,,0.035312,0.069241,0.170721,0.162363,0.119145,0.168455,0.028353,0.1253,0.406409,,"{'DO patch': [1040, 410, 230, 400], 'reference patch': [650, 875, 279, 252], 'reflectance standard': [660, 200, 250, 250]}",127,True
2019-10-03--16-04-27_additional_capture_params__exposure_time_0.4_iso_100_camera_warm_up_5_.jpeg,2019-10-03 16:04:33,2019-10-03--16-00-57-Pi7B0F-scumtank2_10k_images_attempt_6,True,False,False,False,False,98.873333,157.576639,760.726667,23.5,,0.035312,0.069189,0.170477,0.1624,0.119186,0.168498,0.028347,0.125355,0.406478,,"{'DO patch': [1040, 410, 230, 400], 'reference patch': [650, 875, 279, 252], 'reflectance standard': [660, 200, 250, 250]}",127,True
2019-10-03--16-04-58_additional_capture_params__exposure_time_0.4_iso_100_camera_warm_up_5_.jpeg,2019-10-03 16:05:03,2019-10-03--16-00-57-Pi7B0F-scumtank2_10k_images_attempt_6,True,False,False,False,False,98.773333,157.453138,760.9,23.5,,0.035329,0.069239,0.170637,0.162408,0.119165,0.168451,0.028367,0.125323,0.406435,,"{'DO patch': [1040, 410, 230, 400], 'reference patch': [650, 875, 279, 252], 'reflectance standard': [660, 200, 250, 250]}",127,True
