,ROI,image,exposure_seconds,iso,timestamp,ROI definition,r_msorm,g_msorm,b_msorm,r_mean,g_mean,b_mean,r_median,g_median,b_median,r_outlier_warning,g_outlier_warning,b_outlier_warning,r_min,g_min,b_min,r_max,g_max,b_max,r_stdev,g_stdev,b_stdev,r_cv,g_cv,b_cv,r_percentile_99,g_percentile_99,b_percentile_99,r_percentile_95,g_percentile_95,b_percentile_95,r_percentile_90,g_percentile_90,b_percentile_90,r_percentile_75,g_percentile_75,b_percentile_75,r_percentile_50,g_percentile_50,b_percentile_50,r_percentile_25,g_percentile_25,b_percentile_25
0,Reflectance Standard Dry,2019-05-12--15-39-48_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,0.799989,100,2019-05-12 15:39:54,"[912, 121, 330, 222]",0.013916240117073438,0.041304637829086104,0.09873206651410545,0.014527434955609944,0.04285445915666682,0.10185373053393346,0.012743068913426754,0.038133693913426754,0.09184463141342675,False,False,False,0.002977443913426754,0.008836818913426754,0.019579006413426754,0.9365711939134268,0.9365711939134268,0.9365711939134268,0.017445938616128524,0.03204402994023323,0.05067683278725702,1.2008960060352267,0.7477408552301885,0.4975451809334916,0.032274318913426754,0.10161025641342675,0.24516494391342675,0.021532131413426754,0.06352431891342675,0.15239150641342675,0.018602443913426754,0.05424697516342675,0.12895400641342675,0.015672756413426754,0.044481350163426754,0.10551650641342675,0.012743068913426754,0.038133693913426754,0.09184463141342675,0.010789943913426754,0.034227443913426754,0.08305556891342675
1,OO DO patch Wet,2019-05-12--15-39-48_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,0.799989,100,2019-05-12 15:39:54,"[893, 770, 167, 269]",0.09863234521530131,0.10711435840277263,0.16955899136462285,0.09866998222207106,0.1074214478375452,0.1705423344623272,0.09868056891342675,0.10600478766342675,0.16801650641342675,False,False,False,0.036180568913426754,0.06352431891342675,0.10551650641342675,0.6641102564134268,0.8857899439134268,0.9365711939134268,0.020333276375186535,0.018411530050706445,0.03307991964354724,0.20607357898802048,0.17139528856984343,0.19396896229806562,0.14262588141342675,0.14506728766342675,0.25102431891342675,0.13188369391342675,0.13334853766342675,0.21489150641342675,0.12407119391342675,0.12846572516342675,0.20317275641342675,0.11235244391342675,0.11918838141342675,0.18754775641342675,0.09868056891342675,0.10600478766342675,0.16801650641342675,0.08500869391342675,0.09477431891342675,0.14848525641342675
2,Type 1 Chemistry Hand Applied Dry,2019-05-12--15-39-48_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,0.799989,100,2019-05-12 15:39:54,"[1022, 497, 244, 191]",0.2870201086343071,0.4639585651584361,0.8868937938540971,0.2871496716192953,0.4640819301499598,0.8866876966204823,0.27739150641342675,0.45073135016342675,0.9219227564134268,False,False,False,0.16606338141342675,0.28129775641342675,0.5840321314134268,0.5352040064134268,0.9248524439134268,0.9365711939134268,0.05113670942864866,0.0713827763340652,0.060173107019851076,0.17808381649987054,0.15381503070158137,0.06786279684402366,0.43950088141342675,0.6406727564134268,0.9365711939134268,0.38676650641342675,0.5942860376634268,0.9365711939134268,0.35453994391342675,0.5674305689134268,0.9365711939134268,0.31840713141342675,0.5161610376634268,0.9365711939134268,0.27739150641342675,0.45073135016342675,0.9219227564134268,0.24809463141342675,0.40727431891342675,0.8389149439134268
3,Type 1 Chemistry Thin Back Wet,2019-05-12--15-39-48_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,0.799989,100,2019-05-12 15:39:54,"[569, 401, 137, 213]",0.17591339657084973,0.35726243356073834,0.8357813499224737,0.17594195314037384,0.35752943461379827,0.835781349922581,0.17680556891342675,0.36479385016342675,0.8564930689134268,False,False,False,0.12309463141342675,0.25737197516342675,0.5937977564134268,0.45805556891342675,0.7153797876634268,0.9365711939134268,0.014604370133517033,0.033030760172796006,0.0789560366635777,0.08300675235692681,0.0923861281756443,0.09446972784316311,0.20610244391342675,0.41264541266342675,0.9365711939134268,0.19828994391342675,0.39946181891342675,0.9365711939134268,0.19340713141342675,0.39262588141342675,0.9268055689134268,0.18657119391342675,0.38090713141342675,0.8965321314134268,0.17680556891342675,0.36479385016342675,0.8564930689134268,0.16606338141342675,0.33696181891342675,0.7832508814134268
4,Type 1 Chemistry Thick Back Wet,2019-05-12--15-39-48_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,0.799989,100,2019-05-12 15:39:54,"[473, 775, 293, 155]",0.18108394733464772,0.3196756556742273,0.6745467130838549,0.1813546750733654,0.3231740207947882,0.674546713083968,0.17875869391342675,0.31498916266342675,0.6611805689134268,False,False,False,0.09086806891342675,0.15043838141342675,0.33305556891342675,0.7314930689134268,0.9365711939134268,0.9365711939134268,0.029433712818042346,0.06590833343985578,0.11124211290404663,0.1622991676731532,0.2039406920078728,0.1649138758611061,0.26371963141342675,0.5644325220384271,0.9365711939134267,0.23735244391342675,0.42729385016342675,0.9131336939134268,0.21977431891342675,0.39409072516342675,0.8350086939134269,0.19633681891342675,0.34868056891342675,0.7344227564134268,0.17875869391342675,0.31498916266342675,0.6611805689134268,0.16118056891342675,0.28325088141342675,0.5996571314134268
5,Upper Glass,2019-05-12--15-39-48_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,0.799989,100,2019-05-12 15:39:54,"[614, 137, 120, 63]",0.018530110742961663,0.06291795318804846,0.15202328154314998,0.018564854007672663,0.06310443579091421,0.15249549223518252,0.018602443913426754,0.06254775641342675,0.15141494391342675,False,False,False,0.009813381413426754,0.047411037663426754,0.12016494391342675,0.09770400641342675,0.40385635016342675,0.38969619391342675,0.0029397844724207375,0.006522193202285703,0.012383017967976319,0.15835214600695244,0.10335554261028303,0.0812025180972491,0.025438381413426754,0.07817275641342675,0.19047744391342675,0.023485256413426754,0.07036025641342675,0.16996963141342675,0.022508693913426754,0.06840713141342675,0.16508681891342675,0.020555568913426754,0.06547744391342675,0.15825088141342675,0.018602443913426754,0.06254775641342675,0.15141494391342675,0.016649318913426754,0.060106350163426754,0.14555556891342675
6,Left Glass,2019-05-12--15-39-48_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,0.799989,100,2019-05-12 15:39:54,"[415, 466, 70, 76]",0.020287514532904095,0.07481293174131878,0.19295913313609994,0.020295274623012564,0.07491880243669471,0.19329680922123596,0.020555568913426754,0.07426650641342675,0.19145400641342675,False,False,False,0.010789943913426754,0.057664943913426754,0.15336806891342675,0.061571193913426754,0.12553603766342675,0.34184463141342675,0.0029825676663002235,0.00540156553606101,0.013962278138416708,0.14695872422038214,0.07209893058054757,0.07223232599994095,0.027391506413426754,0.09028701422592694,0.23637588141342675,0.025438381413426754,0.08452041266342675,0.21782119391342675,0.024461818913426754,0.08159072516342675,0.21000869391342675,0.022508693913426754,0.07768447516342675,0.20024306891342675,0.020555568913426754,0.07426650641342675,0.19145400641342675,0.018602443913426754,0.07133681891342675,0.18461806891342675
7,Lower-Left Glass,2019-05-12--15-39-48_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,0.799989,100,2019-05-12 15:39:54,"[636, 1087, 110, 55]",0.025080184683643387,0.0857195537415129,0.1989321716439085,0.02510360610351005,0.0858097172863681,0.19930153353118737,0.025438381413426754,0.08549697516342675,0.19828994391342675,False,False,False,0.012743068913426754,0.06889541266342675,0.16313369391342675,0.09379775641342675,0.24809463141342675,0.49809463141342675,0.0033176768770594293,0.00589961445317353,0.012807393834571952,0.132159374369547,0.06875228866545577,0.06426139130819988,0.032274318913426754,0.10209853766342675,0.23832900641342675,0.030321193913426754,0.09526260016342675,0.21879775641342675,0.029344631413426754,0.09233291266342675,0.21293838141342675,0.027391506413426754,0.08891494391342675,0.20512588141342675,0.025438381413426754,0.08549697516342675,0.19828994391342675,0.023485256413426754,0.08207900641342675,0.19145400641342675
8,Lower-Right Glass,2019-05-12--15-39-48_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,0.799989,100,2019-05-12 15:39:54,"[902, 1110, 67, 61]",0.029759760564718265,0.10098679035699303,0.22762745862113054,0.029916662395808948,0.10168695730956746,0.22965654839104738,0.029344631413426754,0.09916885016342675,0.22270400641342675,False,False,False,0.015672756413426754,0.07768447516342675,0.17778213141342675,0.10942275641342675,0.25444228766342675,0.6973133814134268,0.005026703406462482,0.013186098332281607,0.03054492699197144,0.16802353618051583,0.1296734476196286,0.13300263896660636,0.045946193913426754,0.15141494391342675,0.35356338141342675,0.038133693913426754,0.12455947516342675,0.28393447516342657,0.035204006413426754,0.11430556891342675,0.25786025641342675,0.032274318913426754,0.10551650641342675,0.23637588141342675,0.029344631413426754,0.09916885016342675,0.22270400641342675,0.026414943913426754,0.09379775641342675,0.21293838141342675
9,Type 1 Chemistry Dry Unsaturated,2019-05-12--15-39-48_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,0.799989,100,2019-05-12 15:39:54,"[870, 470, 15, 55]",0.27180201777706314,0.1774498865774608,0.23136877914069948,0.27180201777706675,0.17753769486039672,0.23136877914070206,0.27055556891342675,0.17631728766342675,0.22953994391342675,False,False,False,0.23051650641342675,0.15629775641342675,0.19145400641342675,0.31645400641342675,0.21537978766342675,0.28813369391342675,0.015725624039484593,0.008638129695102316,0.014793420627765072,0.057856906906345415,0.04865518673031515,0.06393870721325268,0.30766494391342675,0.20268447516342675,0.27692275641342673,0.29887588141342675,0.19243056891342675,0.25883681891342675,0.29360244391342677,0.18930556891342676,0.25102431891342675,0.28227431891342675,0.18217666266342675,0.23930556891342675,0.27055556891342675,0.17631728766342675,0.22953994391342675,0.26078994391342675,0.17192275641342675,0.22172744391342675
