,ROI,image,exposure_seconds,iso,timestamp,ROI definition,r_msorm,g_msorm,b_msorm,r_mean,g_mean,b_mean,r_median,g_median,b_median,r_outlier_warning,g_outlier_warning,b_outlier_warning,r_min,g_min,b_min,r_max,g_max,b_max,r_stdev,g_stdev,b_stdev,r_cv,g_cv,b_cv,r_percentile_99,g_percentile_99,b_percentile_99,r_percentile_95,g_percentile_95,b_percentile_95,r_percentile_90,g_percentile_90,b_percentile_90,r_percentile_75,g_percentile_75,b_percentile_75,r_percentile_50,g_percentile_50,b_percentile_50,r_percentile_25,g_percentile_25,b_percentile_25
0,Reflectance Standard Dry,2019-05-13--14-25-11_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,0.799989,100,2019-05-13 14:25:17,"[912, 121, 330, 222]",0.013164181744391648,0.039189804281758014,0.09556375253292655,0.013733854621018355,0.04074341256319249,0.0985815663242675,0.012743068913426754,0.036668850163426754,0.08989150641342675,False,False,False,-0.0009288060865732459,0.010789943913426754,0.015672756413426754,0.8984852564134268,0.9365711939134268,0.9365711939134268,0.014791855684458195,0.03195342958314249,0.04893468465638382,1.0770359882665912,0.7842600207722695,0.4963877779687675,0.029344631413426754,0.09086806891342675,0.22368056891342675,0.019579006413426754,0.058641506413426754,0.14262588141342675,0.017625881413426754,0.05082900641342675,0.12309463141342675,0.014696193913426754,0.042528225163426754,0.10258681891342675,0.012743068913426754,0.036668850163426754,0.08989150641342675,0.010789943913426754,0.032762600163426754,0.08110244391342675
1,OO DO patch Wet,2019-05-13--14-25-11_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,0.799989,100,2019-05-13 14:25:17,"[893, 770, 167, 269]",0.045804705672024035,0.07578373061352159,0.15752697378717484,0.045839935704895446,0.07609405847126843,0.15853354824757773,0.044969631413426754,0.07475478766342675,0.15629775641342675,False,False,False,0.017625881413426754,0.049364162663426754,0.10063369391342675,0.27055556891342675,0.5942860376634268,0.9365711939134268,0.008849142053231139,0.013983993031560848,0.030624431190318366,0.19304438187259718,0.18377246939510947,0.1931731897055189,0.06645400641342675,0.10600478766342675,0.23344619391342675,0.06059463141342676,0.09477431891342675,0.20121963141342675,0.057664943913426754,0.09086806891342675,0.19047744391342675,0.051805568913426754,0.08500869391342675,0.17387588141342675,0.044969631413426754,0.07475478766342675,0.15629775641342675,0.040086818913426754,0.06596572516342675,0.13774306891342675
2,Type 1 Chemistry Hand Applied Dry,2019-05-13--14-25-11_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,0.799989,100,2019-05-13 14:25:17,"[1022, 497, 244, 191]",0.2717807010478114,0.4303748235335926,0.8589370525642399,0.27188552868762456,0.4304227204556456,0.8589370525637487,0.26274306891342675,0.41752822516342675,0.8711415064134268,False,False,False,0.16020400641342675,0.26860244391342675,0.6045399439134268,0.49028213141342675,0.7524891626634268,0.9365711939134268,0.04858409581560793,0.06616956762426832,0.07544325791812835,0.1786932024301569,0.15373158636751608,0.08783327915933524,0.41606338141342675,0.5923329126634268,0.9365711939134268,0.36723525641342675,0.5532704126634268,0.9365711939134268,0.33696181891342675,0.5269032251634268,0.9365711939134268,0.30082900641342675,0.47905166266342675,0.9365711939134268,0.26274306891342675,0.41752822516342675,0.8711415064134268,0.23442275641342675,0.37651260016342675,0.7920399439134268
3,Type 1 Chemistry Thin Back Wet,2019-05-13--14-25-11_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,0.799989,100,2019-05-13 14:25:17,"[569, 401, 137, 213]",0.16963713832098332,0.3383047849304717,0.8130632954735171,0.16964016162791487,0.3384161879003958,0.8130632954736241,0.17094619391342675,0.34477431891342675,0.8311024439134268,False,False,False,0.12211806891342675,0.25200088141342675,0.5889149439134268,0.25786025641342675,0.5278797876634268,0.9365711939134268,0.013198907525383337,0.029233789018750057,0.0743646677067824,0.07780532274151884,0.08638413309990443,0.09146233524594619,0.19731338141342675,0.39067275641342675,0.9365711939134268,0.18950088141342675,0.37651260016342675,0.9111805689134268,0.18559463141342675,0.37016494391342675,0.8955555689134268,0.17875869391342675,0.35893447516342675,0.8682118189134268,0.17094619391342675,0.34477431891342675,0.8311024439134268,0.16020400641342675,0.32036025641342675,0.7646961939134268
4,Type 1 Chemistry Thick Back Wet,2019-05-13--14-25-11_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,0.799989,100,2019-05-13 14:25:17,"[473, 775, 293, 155]",0.1734722025505173,0.29975501557865797,0.6482502062166304,0.17373996042787163,0.30325408107222773,0.6482502062167429,0.17094619391342675,0.29594619391342675,0.6357899439134268,False,False,False,0.07524306891342675,0.13969619391342675,0.31157119391342675,0.6738758814134268,0.9365711939134268,0.9365711939134268,0.02765272892233133,0.06183969376127024,0.1059553458955592,0.15916159330433022,0.20392040081578172,0.16344822551453683,0.25297744391342675,0.5361805689134268,0.9365711939134267,0.22661025641342675,0.39750869391342675,0.8652821314134268,0.20903213141342675,0.36479385016342675,0.7881336939134268,0.18754775641342675,0.32573135016342675,0.7002430689134268,0.17094619391342675,0.29594619391342675,0.6357899439134268,0.15532119391342675,0.26713760016342675,0.5791493189134268
5,Upper Glass,2019-05-13--14-25-11_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,0.799989,100,2019-05-13 14:25:17,"[614, 137, 120, 63]",0.0176370095934983,0.05962957394287964,0.1471208550002818,0.017663988018915482,0.05982978663003444,0.1476989685910058,0.017625881413426754,0.059618068913426754,0.14653213141342675,False,False,False,0.008836818913426754,0.044969631413426754,0.11918838141342675,0.047899318913426754,0.18559463141342675,0.32914931891342675,0.002817738922300861,0.005117917268274874,0.012263582214274059,0.159518842476766,0.08554129233189826,0.08303092656139817,0.024461818913426754,0.07573135016342675,0.19047744391342675,0.022508693913426754,0.06743056891342675,0.16606338141342675,0.021532131413426754,0.06498916266342675,0.16020400641342675,0.019579006413426754,0.062059475163426754,0.15336806891342675,0.017625881413426754,0.059618068913426754,0.14653213141342675,0.015672756413426754,0.056688381413426754,0.14067275641342675
6,Left Glass,2019-05-13--14-25-11_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,0.799989,100,2019-05-13 14:25:17,"[415, 466, 70, 76]",0.01927210777304286,0.07160460690883914,0.18793893627848354,0.019290443208539055,0.07178113649449532,0.18858489515873642,0.019579006413426754,0.07133681891342675,0.18657119391342675,False,False,False,0.008836818913426754,0.057176662663426754,0.15532119391342675,0.043016506413426754,0.11039931891342675,0.37797744391342675,0.0029189443301731897,0.005600569469464303,0.015187330650500281,0.15131556587984965,0.07802285869204362,0.08053312349176608,0.026414943913426754,0.08940322516342675,0.24028213141342675,0.024461818913426754,0.08159072516342675,0.21391494391342675,0.023485256413426754,0.07866103766342675,0.20512588141342675,0.021532131413426754,0.07475478766342675,0.19536025641342675,0.019579006413426754,0.07133681891342675,0.18657119391342675,0.017625881413426754,0.06791885016342675,0.17973525641342675
7,Lower-Left Glass,2019-05-13--14-25-11_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,0.799989,100,2019-05-13 14:25:17,"[636, 1087, 110, 55]",0.023554687940377808,0.08079308598145056,0.19165784175854036,0.023559184615906097,0.08082924853636791,0.1918824025911084,0.023485256413426754,0.08061416266342675,0.19145400641342675,False,False,False,0.012743068913426754,0.06498916266342675,0.15727431891342675,0.038133693913426754,0.14409072516342675,0.27543838141342675,0.003068070027905173,0.004926790101500711,0.011220605800721777,0.13022819244065648,0.060953060812930546,0.058476471261579496,0.031297756413426754,0.09379775641342675,0.22270400641342675,0.028368068913426754,0.08940322516342675,0.21000869391342675,0.027391506413426754,0.08696181891342675,0.20512588141342675,0.025438381413426754,0.08403213141342675,0.19828994391342675,0.023485256413426754,0.08061416266342675,0.19145400641342675,0.021532131413426754,0.07768447516342675,0.18461806891342675
8,Lower-Right Glass,2019-05-13--14-25-11_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,0.799989,100,2019-05-13 14:25:17,"[902, 1110, 67, 61]",0.026416618567395394,0.0912689003811647,0.21065709687031703,0.026436448837575885,0.09134786766557398,0.21090736079929295,0.026414943913426754,0.09086806891342675,0.21000869391342675,False,False,False,0.015672756413426754,0.07280166266342675,0.16996963141342675,0.046922756413426754,0.13188369391342675,0.30180556891342675,0.0034052561146681076,0.006021194044786531,0.013155051098054366,0.12880913528098337,0.06591499285818274,0.062373598760136144,0.035204006413426754,0.10746963141342675,0.25004775641342675,0.032274318913426754,0.10161025641342675,0.23344619391342675,0.030321193913426754,0.09868056891342675,0.22661025641342675,0.028368068913426754,0.09477431891342675,0.21879775641342675,0.026414943913426754,0.09086806891342675,0.21000869391342675,0.024461818913426754,0.08696181891342675,0.20219619391342675
9,Type 1 Chemistry Dry Unsaturated,2019-05-13--14-25-11_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,0.799989,100,2019-05-13 14:25:17,"[870, 470, 15, 55]",0.2582425954285783,0.16577218823160855,0.2221429268679722,0.2582425954285816,0.16577218823160814,0.2221429268679745,0.25786025641342675,0.16508681891342675,0.21977431891342675,False,False,False,0.21196181891342675,0.14262588141342675,0.18364150641342675,0.30082900641342675,0.19389541266342675,0.27934463141342675,0.015074361054211075,0.008895585486217591,0.01614687139119482,0.05837286846189545,0.053661507283653334,0.07268685804608732,0.29278213141342674,0.19036025641342674,0.26762588141342675,0.28325088141342675,0.18315322516342675,0.2527821314134267,0.27836806891342675,0.17729385016342675,0.24418838141342675,0.26860244391342675,0.17094619391342675,0.23051650641342675,0.25786025641342675,0.16508681891342675,0.21977431891342675,0.24809463141342675,0.15922744391342675,0.21098525641342675
