,ROI,image,exposure_seconds,iso,timestamp,ROI definition,r_msorm,g_msorm,b_msorm,r_mean,g_mean,b_mean,r_median,g_median,b_median,r_outlier_warning,g_outlier_warning,b_outlier_warning,r_min,g_min,b_min,r_max,g_max,b_max,r_stdev,g_stdev,b_stdev,r_cv,g_cv,b_cv,r_percentile_99,g_percentile_99,b_percentile_99,r_percentile_95,g_percentile_95,b_percentile_95,r_percentile_90,g_percentile_90,b_percentile_90,r_percentile_75,g_percentile_75,b_percentile_75,r_percentile_50,g_percentile_50,b_percentile_50,r_percentile_25,g_percentile_25,b_percentile_25
0,Reflectance Standard Dry,2019-06-03--16-08-43_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,0.799989,100,2019-06-03 16:08:48,"[912, 121, 330, 222]",0.00896292663919609,0.02718156870860425,0.06576697118123605,0.01000986696148317,0.029766488817663004,0.0697654810628549,0.008836818913426754,0.025438381413426754,0.061571193913426754,False,False,False,-0.0009288060865732459,0.004930568913426754,0.009813381413426754,0.8447743189134268,0.9365711939134268,0.9365711939134268,0.02143078247578435,0.04435323710715732,0.056735343414492045,2.140965764904525,1.4900392645853062,0.8132294445640902,0.024461818913426754,0.07573135016342675,0.18266494391342675,0.013719631413426754,0.041063381413426754,0.09965713141342675,0.011766506413426754,0.034715725163426754,0.08403213141342675,0.009813381413426754,0.029344631413426754,0.07036025641342675,0.008836818913426754,0.025438381413426754,0.061571193913426754,0.006883693913426754,0.022508693913426754,0.055711818913426754
1,OO DO patch Wet,2019-06-03--16-08-43_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,0.799989,100,2019-06-03 16:08:48,"[893, 770, 167, 269]",0.019035918084345117,0.0385629721515382,0.0857235039114173,0.019071366952580056,0.03875442836804373,0.08627027101482919,0.018602443913426754,0.038133693913426754,0.08500869391342675,False,False,False,0.006883693913426754,0.023973537663426754,0.051805568913426754,0.29203994391342675,0.43412978766342675,0.9336415064134268,0.004164518170640459,0.00717257341515743,0.017275065015899375,0.2183649541742505,0.18507751803331507,0.20024354638841838,0.028368068913426754,0.05229385016342675,0.12211806891342675,0.025438381413426754,0.04741103766342676,0.10649306891342675,0.023485256413426754,0.044969631413426754,0.10063369391342675,0.021532131413426754,0.042039943913426754,0.09282119391342675,0.018602443913426754,0.038133693913426754,0.08500869391342675,0.016649318913426754,0.034715725163426754,0.07817275641342675
2,Type 1 Chemistry Hand Applied Dry,2019-06-03--16-08-43_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,0.799989,100,2019-06-03 16:08:48,"[1022, 497, 244, 191]",0.15704353660985992,0.2670755785618836,0.5602591889337104,0.1571343010904534,0.2671350856261386,0.5603790726967401,0.15141494391342675,0.25834853766342675,0.5381336939134268,False,False,False,0.09184463141342675,0.16264541266342675,0.35746963141342675,0.29106338141342675,0.5400868189134268,0.9365711939134268,0.029164014996973714,0.04358680684745331,0.09288622274038594,0.18559929178152915,0.16316391665770927,0.16575605204774144,0.24516494391342675,0.38090713141342675,0.8193836939134268,0.21391494391342675,0.34770400641342675,0.7402821314134268,0.19536025641342675,0.32914931891342675,0.6904774439134268,0.17387588141342675,0.29789931891342675,0.6211415064134268,0.15141494391342675,0.25834853766342675,0.5381336939134268,0.13481338141342675,0.23246963141342675,0.48637588141342675
3,Type 1 Chemistry Thin Back Wet,2019-06-03--16-08-43_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,0.799989,100,2019-06-03 16:08:48,"[569, 401, 137, 213]",0.11780565700721635,0.24684302006351772,0.5832976730078622,0.1178136105865404,0.24702172117224688,0.5837850207079316,0.11821181891342675,0.25004775641342675,0.5928211939134268,False,False,False,0.08500869391342675,0.18022353766342675,0.41508681891342675,0.20707900641342675,0.41508681891342675,0.9365711939134268,0.009825903115725336,0.021594517647507083,0.052627872424593984,0.08340210495889763,0.08741950928456751,0.09014940527383586,0.13969619391342675,0.29106338141342675,0.6875477564134268,0.13383681891342675,0.27739150641342675,0.6553211939134268,0.12993056891342675,0.27153213141342675,0.6416493189134268,0.12504775641342675,0.26176650641342675,0.6191883814134268,0.11821181891342675,0.25004775641342675,0.5928211939134268,0.11137588141342675,0.23295791266342675,0.5508290064134268
4,Type 1 Chemistry Thick Back Wet,2019-06-03--16-08-43_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,0.799989,100,2019-06-03 16:08:48,"[473, 775, 293, 155]",0.11138619137876801,0.19942177382049506,0.4270521200147446,0.1115314132105184,0.2006208135669858,0.43016045837048605,0.10942275641342675,0.19536025641342675,0.42192275641342675,False,False,False,0.07621963141342675,0.13627822516342675,0.28227431891342675,0.7891102564134268,0.9365711939134268,0.9365711939134268,0.0148804758566769,0.030313973983682945,0.05925129891388272,0.13341959389136063,0.1511008426529052,0.13774231861834943,0.14653213141342675,0.26755752203842703,0.6064930689134267,0.13481338141342675,0.24174697516342675,0.5137196314134268,0.12993056891342675,0.23246963141342675,0.4922352564134268,0.12114150641342675,0.21684463141342675,0.45805556891342675,0.10942275641342675,0.19536025641342675,0.42192275641342675,0.10161025641342675,0.18120010016342675,0.39262588141342675
5,Upper Glass,2019-06-03--16-08-43_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,0.799989,100,2019-06-03 16:08:48,"[614, 137, 120, 63]",0.014276925157609706,0.04913825701254806,0.12001169392174561,0.014425830776851943,0.04980497212523881,0.12164128423254926,0.013719631413426754,0.048387600163426754,0.11723525641342675,False,False,False,0.005907131413426754,0.036180568913426754,0.09184463141342675,0.09770400641342675,0.32621963141342675,0.8164540064134268,0.0035771965283747137,0.011197412452972734,0.02760331060801819,0.24797161312295268,0.22482519264975984,0.2269238670256655,0.023485256413426754,0.07914931891342675,0.1986903345384266,0.018602443913426754,0.060106350163426754,0.14653213141342675,0.017625881413426754,0.055711818913426754,0.13481338141342675,0.015672756413426754,0.051317287663426754,0.12407119391342675,0.013719631413426754,0.048387600163426754,0.11723525641342675,0.012743068913426754,0.045946193913426754,0.11137588141342675
6,Left Glass,2019-06-03--16-08-43_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,0.799989,100,2019-06-03 16:08:48,"[415, 466, 70, 76]",0.014145486949107411,0.05347006789472505,0.1385323832870127,0.01418239721464927,0.053658192415546556,0.13907134076493885,0.013719631413426754,0.053270412663426754,0.13774306891342675,False,False,False,0.002000881413426754,0.039110256413426754,0.10453994391342675,0.06450088141342675,0.26371963141342675,0.7978993189134268,0.002705824878227496,0.00664965676959773,0.01732249849810214,0.19078755426710214,0.12392621648714175,0.12455836265633603,0.020555568913426754,0.06938369391342675,0.17973525641342675,0.018602443913426754,0.06157119391342675,0.15825088141342675,0.017625881413426754,0.059129787663426754,0.1515126001634271,0.015672756413426754,0.056200100163426754,0.14360244391342675,0.013719631413426754,0.053270412663426754,0.13774306891342675,0.012743068913426754,0.050340725163426754,0.13090713141342675
7,Lower-Left Glass,2019-06-03--16-08-43_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,0.799989,100,2019-06-03 16:08:48,"[636, 1087, 110, 55]",0.013252474215515266,0.045240589896765666,0.10656350196860952,0.013291073820452,0.04563135339173743,0.10760070062831086,0.012743068913426754,0.044481350163426754,0.10453994391342675,False,False,False,0.005907131413426754,0.032274318913426754,0.08012588141342675,0.034227443913426754,0.10698135016342675,0.28129775641342675,0.00275773439483755,0.006036232193959497,0.014036049072780233,0.20748770431129587,0.1322825589269612,0.13044570333482758,0.021532131413426754,0.07036025641342675,0.16801650641342675,0.017625881413426754,0.056200100163426754,0.13188369391342675,0.016649318913426754,0.051317287663426754,0.12114150641342675,0.014696193913426754,0.047411037663426754,0.11137588141342675,0.012743068913426754,0.044481350163426754,0.10453994391342675,0.011766506413426754,0.042039943913426754,0.09965713141342675
8,Lower-Right Glass,2019-06-03--16-08-43_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,0.799989,100,2019-06-03 16:08:48,"[902, 1110, 67, 61]",0.013505328205001573,0.046215967203013686,0.10636516855645971,0.013512945197988757,0.04633806142015788,0.10667657759951153,0.013719631413426754,0.045946193913426754,0.10551650641342675,False,False,False,0.003954006413426754,0.035204006413426754,0.08012588141342675,0.032274318913426754,0.08500869391342675,0.18950088141342675,0.002422320127297732,0.004003671477645257,0.009006787004499766,0.1792592282294067,0.08640135894644027,0.08443078328134336,0.019579006413426754,0.05717666266342675,0.13383681891342675,0.017625881413426754,0.052782131413426754,0.12016494391342675,0.016649318913426754,0.050829006413426754,0.11723525641342675,0.014696193913426754,0.048387600163426754,0.11137588141342675,0.013719631413426754,0.045946193913426754,0.10551650641342675,0.011766506413426754,0.043504787663426754,0.10063369391342675
9,Type 1 Chemistry Dry Unsaturated,2019-06-03--16-08-43_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,0.799989,100,2019-06-03 16:08:48,"[870, 470, 15, 55]",0.1417380973225176,0.0992659145573661,0.14170034222752148,0.1417380973225168,0.0992659145573665,0.14182095717100163,0.14067275641342675,0.09868056891342675,0.13969619391342675,False,False,False,0.11528213141342675,0.08354385016342675,0.11332900641342675,0.17485244391342675,0.12309463141342675,0.19145400641342675,0.009873351246962819,0.006295642050550058,0.012680303042325437,0.06965912082547984,0.06342199211706008,0.08941064349915556,0.16485244391342674,0.11625869391342675,0.17950088141342674,0.15825088141342675,0.11088760016342675,0.16508681891342675,0.15434463141342675,0.10698135016342675,0.15825088141342675,0.14848525641342675,0.10307510016342675,0.14848525641342675,0.14067275641342675,0.09868056891342675,0.13969619391342675,0.13481338141342675,0.09477431891342675,0.13286025641342675
